time,Bx,By,Bz,BT
4.325350,-5.94,-22.33,-20.21,30.70
4.335182,-5.93,-22.07,-20.12,30.45
4.345679,-5.89,-22.07,-19.86,30.26
4.355094,-5.93,-22.03,-19.93,30.29
4.364595,-6.06,-21.92,-19.95,30.25
4.374674,-6.11,-22.01,-19.91,30.31
4.384491,-5.96,-21.92,-19.84,30.16
4.394500,-5.89,-21.83,-19.63,29.94
4.404329,-5.83,-21.77,-19.69,29.92
4.414573,-5.83,-21.71,-19.50,29.76
4.424580,-5.48,-21.49,-19.67,29.64
4.434627,-5.38,-21.62,-19.76,29.78
4.444396,-5.27,-21.81,-19.73,29.87
4.454609,-5.19,-21.90,-19.67,29.89
4.464392,-5.36,-21.99,-19.76,30.05
4.475219,-5.33,-22.20,-19.71,30.16
4.485591,-5.44,-22.35,-19.78,30.34
4.494504,-5.51,-22.48,-19.91,30.53
4.504615,-5.96,-22.69,-20.01,30.83
4.514670,-6.02,-22.50,-20.16,30.80
4.524389,-6.02,-22.31,-20.04,30.59
4.534451,-6.36,-22.31,-19.99,30.62
4.544565,-6.19,-22.48,-19.93,30.67
4.555724,-5.98,-22.31,-20.04,30.58
4.565794,-5.76,-22.28,-19.95,30.45
4.575420,-5.72,-22.50,-19.74,30.48
4.588861,-5.61,-22.59,-19.80,30.56
4.595175,-5.53,-22.78,-19.56,30.53
4.604581,-5.85,-22.88,-19.63,30.71
4.614393,-5.64,-22.91,-19.50,30.61
4.624322,-5.68,-22.84,-19.58,30.61
4.634560,-5.89,-22.69,-19.43,30.44
4.644443,-6.02,-22.74,-19.35,30.46
4.654617,-5.98,-22.65,-19.58,30.53
4.664405,-6.06,-22.41,-19.44,30.28
4.674694,-6.04,-22.35,-19.43,30.22
4.688516,-5.83,-22.28,-19.37,30.09
4.696608,-5.83,-22.22,-19.52,30.14
4.704303,-5.91,-22.16,-19.39,30.03
4.714639,-5.98,-22.50,-19.54,30.39
4.724470,-5.87,-22.35,-19.65,30.33
4.734474,-5.76,-22.35,-19.37,30.13
4.744461,-5.48,-22.33,-19.41,30.09
4.754593,-5.74,-22.24,-19.39,30.05
4.764400,-5.78,-22.52,-19.35,30.25
4.781660,-5.76,-22.52,-19.52,30.35
4.787234,-5.91,-22.59,-19.54,30.45
4.795475,-5.83,-22.33,-19.46,30.19
4.805476,-5.83,-22.50,-19.52,30.35
4.815341,-6.08,-22.31,-19.74,30.41
4.825423,-6.43,-22.31,-19.91,30.59
4.835309,-6.47,-22.33,-20.23,30.82
4.844677,-6.30,-22.12,-20.31,30.68
4.854456,-6.17,-22.16,-20.16,30.59
4.864561,-6.09,-21.94,-20.23,30.46
4.874714,-6.11,-21.96,-20.06,30.36
4.885619,-6.13,-21.84,-19.86,30.15
4.894485,-6.19,-22.12,-19.80,30.33
4.904516,-6.04,-22.39,-19.65,30.39
4.914717,-5.96,-22.29,-19.48,30.20
4.924417,-6.41,-22.35,-19.48,30.33
4.934634,-6.56,-22.07,-19.44,30.14
4.944593,-6.56,-22.48,-19.50,30.47
4.954882,-6.56,-22.59,-19.63,30.64
4.964431,-6.56,-22.48,-19.97,30.78
4.974556,-6.38,-22.07,-20.04,30.49
4.984965,-6.32,-21.88,-20.16,30.41
4.994847,-6.02,-22.18,-20.10,30.53
5.004396,-5.68,-21.94,-20.03,30.24
5.014604,-5.66,-22.05,-20.12,30.38
5.024500,-5.44,-21.94,-20.10,30.25
5.035738,-5.42,-21.71,-20.23,30.17
5.045476,-5.49,-21.81,-20.18,30.21
5.055405,-5.42,-21.88,-20.27,30.31
5.065705,-5.44,-21.88,-20.18,30.26
5.075176,-5.59,-21.90,-19.93,30.13
5.087739,-5.51,-22.12,-19.74,30.16
5.094735,-5.44,-22.14,-19.86,30.24
5.104571,-5.61,-22.01,-19.84,30.16
5.114759,-5.61,-22.20,-19.84,30.30
5.124355,-5.55,-22.20,-19.65,30.16
5.134531,-5.83,-22.24,-19.54,30.17
5.144524,-5.85,-22.20,-19.48,30.11
5.154712,-5.94,-22.05,-19.61,30.10
5.164456,-5.96,-22.11,-19.73,30.22
5.174874,-5.98,-22.09,-19.54,30.09
5.188592,-5.87,-22.03,-19.52,30.01
5.194640,-5.79,-22.07,-19.43,29.97
5.204332,-5.68,-22.09,-19.48,29.99
5.214600,-5.38,-22.37,-19.48,30.15
5.224551,-5.66,-22.48,-19.46,30.27
5.234587,-5.78,-22.58,-19.71,30.52
5.244487,-5.83,-22.48,-19.78,30.51
5.255958,-5.98,-22.50,-19.80,30.56
5.265349,-6.21,-22.63,-19.58,30.56
5.282443,-6.21,-22.63,-19.48,30.50
5.285707,-6.32,-22.74,-19.14,30.39
5.295524,-6.54,-22.54,-19.41,30.45
5.305429,-6.24,-22.52,-19.33,30.33
5.315224,-5.93,-22.56,-19.24,30.23
5.324599,-5.96,-22.61,-19.46,30.42
5.334612,-5.91,-22.56,-19.48,30.38
5.344596,-5.70,-22.48,-19.59,30.36
5.354478,-5.98,-22.28,-19.56,30.24
5.364452,-6.17,-22.28,-19.86,30.47
5.374540,-5.76,-22.44,-19.63,30.37
5.385326,-5.74,-22.43,-19.52,30.28
5.394772,-5.87,-22.24,-19.48,30.14
5.404241,-5.76,-22.24,-19.26,29.97
5.414363,-5.79,-22.31,-19.26,30.04
5.424409,-5.74,-22.50,-19.39,30.25
5.434607,-5.68,-22.69,-19.44,30.41
5.444460,-5.44,-22.71,-19.31,30.30
5.454544,-5.55,-22.50,-19.35,30.19
5.464472,-5.38,-22.48,-19.46,30.22
5.475523,-5.46,-22.58,-19.59,30.39
5.484508,-5.59,-22.48,-19.65,30.38
5.494487,-5.57,-22.69,-19.59,30.49
5.504377,-5.68,-22.74,-19.52,30.50
5.515547,-5.55,-22.74,-19.52,30.48
5.525540,-5.64,-22.71,-19.61,30.53
5.535290,-5.93,-22.78,-19.46,30.54
5.545622,-6.11,-22.56,-19.31,30.32
5.556154,-6.00,-22.29,-18.96,29.87
5.565004,-6.23,-22.31,-18.94,29.92
5.575001,-6.26,-22.11,-19.09,29.87
5.588165,-6.23,-22.03,-19.14,29.84
5.594954,-6.30,-21.99,-19.18,29.86
5.605196,-6.23,-21.98,-19.07,29.75
5.615637,-6.13,-22.03,-19.09,29.79
5.625252,-6.06,-22.22,-19.29,30.04
5.635110,-5.98,-22.52,-19.43,30.33
5.644468,-5.83,-22.61,-19.24,30.26
5.654498,-5.78,-22.71,-19.01,30.17
5.664596,-5.74,-22.76,-19.07,30.24
5.675474,-5.64,-22.73,-19.29,30.34
5.685746,-5.85,-22.76,-19.48,30.53
5.696792,-5.98,-22.58,-19.63,30.51
5.704743,-6.13,-22.65,-19.59,30.57
5.714637,-6.26,-22.52,-19.59,30.50
5.725114,-6.30,-22.43,-19.86,30.61
5.735406,-6.13,-22.56,-19.95,30.73
5.745044,-6.17,-22.54,-19.76,30.60
5.756837,-6.19,-22.52,-19.43,30.38
5.765483,-5.93,-22.41,-19.24,30.12
5.775436,-5.62,-22.48,-19.35,30.19
5.791678,-5.36,-22.26,-19.41,30.01
